"City / Municipality","Transmission Status"
"DAANBANTAYAN, CEBU","FULL TRANSMISSION"
"DAET, CAMARINES NORTE","FULL TRANSMISSION"
"DAGAMI, LEYTE","FULL TRANSMISSION"
"DAGOHOY, BOHOL","FULL TRANSMISSION"
"DAGUIOMAN, ABRA","FULL TRANSMISSION"
"DAGUPAN CITY, PANGASINAN","FULL TRANSMISSION"
"DALAGUETE, CEBU","FULL TRANSMISSION"
"DAMULOG, BUKIDNON","FULL TRANSMISSION"
"DANAO, BOHOL","FULL TRANSMISSION"
"DANAO CITY, CEBU","FULL TRANSMISSION"
"DANGCAGAN, BUKIDNON","FULL TRANSMISSION"
"DANGLAS, ABRA","FULL TRANSMISSION"
"DAO, CAPIZ","FULL TRANSMISSION"
"DAPA, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"DAPITAN CITY, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"DARAGA (LOCSIN), ALBAY","FULL TRANSMISSION"
"DARAM, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"DASMARIÑAS CITY, CAVITE","FULL TRANSMISSION"
"DASOL, PANGASINAN","FULL TRANSMISSION"
"DATU ABDULLAH SANGKI, MAGUINDANAO","FULL TRANSMISSION"
"DATU ANGGAL MIDTIMBANG, MAGUINDANAO","PARTIAL TRANSMISSION"
"DATU BLAH T. SINSUAT, MAGUINDANAO","FULL TRANSMISSION"
"DATU HOFFER AMPATUAN, MAGUINDANAO","PARTIAL TRANSMISSION"
"DATU ODIN SINSUAT (DINAIG), MAGUINDANAO","PARTIAL TRANSMISSION"
"DATU PAGLAS, MAGUINDANAO","FULL TRANSMISSION"
"DATU PIANG, MAGUINDANAO","FULL TRANSMISSION"
"DATU SALIBO, MAGUINDANAO","FULL TRANSMISSION"
"DATU SAUDI AMPATUAN, MAGUINDANAO","FULL TRANSMISSION"
"DATU UNSAY, MAGUINDANAO","FULL TRANSMISSION"
"DAUIN, NEGROS ORIENTAL","FULL TRANSMISSION"
"DAUIS, BOHOL","FULL TRANSMISSION"
"DAVAO CITY, DAVAO DEL SUR","PARTIAL TRANSMISSION"
"DEL CARMEN, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"DEL GALLEGO, CAMARINES SUR","FULL TRANSMISSION"
"DELFIN ALBANO (MAGSAYSAY), ISABELA","FULL TRANSMISSION"
"DIADI, NUEVA VIZCAYA","FULL TRANSMISSION"
"DIFFUN, QUIRINO","FULL TRANSMISSION"
"DIGOS CITY, DAVAO DEL SUR","PARTIAL TRANSMISSION"
"DILASAG, AURORA","FULL TRANSMISSION"
"DIMASALANG, MASBATE","FULL TRANSMISSION"
"DIMATALING, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"DIMIAO, BOHOL","FULL TRANSMISSION"
"DINAGAT, DINAGAT ISLANDS","FULL TRANSMISSION"
"DINALUNGAN, AURORA","FULL TRANSMISSION"
"DINALUPIHAN, BATAAN","FULL TRANSMISSION"
"DINAPIGUE, ISABELA","FULL TRANSMISSION"
"DINAS, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"DINGALAN, AURORA","FULL TRANSMISSION"
"DINGLE, ILOILO","FULL TRANSMISSION"
"DINGRAS, ILOCOS NORTE","FULL TRANSMISSION"
"DIPACULAO, AURORA","FULL TRANSMISSION"
"DIPLAHAN, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"DIPOLOG CITY, ZAMBOANGA DEL NORTE","PARTIAL TRANSMISSION"
"DITSAAN-RAMAIN, LANAO DEL SUR","PARTIAL TRANSMISSION"
"DIVILACAN, ISABELA","FULL TRANSMISSION"
"DOÑA REMEDIOS TRINIDAD, BULACAN","FULL TRANSMISSION"
"DOLORES, ABRA","FULL TRANSMISSION"
"DOLORES, EASTERN SAMAR","FULL TRANSMISSION"
"DOLORES, QUEZON","PARTIAL TRANSMISSION"
"DON CARLOS, BUKIDNON","FULL TRANSMISSION"
"DON MARCELINO, DAVAO OCCIDENTAL","FULL TRANSMISSION"
"DON VICTORIANO CHIONGBIAN  (DON MARIANO MARCOS), MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"DONSOL, SORSOGON","PARTIAL TRANSMISSION"
"DUEÑAS, ILOILO","FULL TRANSMISSION"
"DUERO, BOHOL","FULL TRANSMISSION"
"DULAG, LEYTE","FULL TRANSMISSION"
"DUMAGUETE CITY, NEGROS ORIENTAL","FULL TRANSMISSION"
"DUMALAG, CAPIZ","FULL TRANSMISSION"
"DUMALINAO, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"DUMALNEG, ILOCOS NORTE","FULL TRANSMISSION"
"DUMANGAS, ILOILO","FULL TRANSMISSION"
"DUMANJUG, CEBU","PARTIAL TRANSMISSION"
"DUMARAN, PALAWAN","FULL TRANSMISSION"
"DUMARAO, CAPIZ","FULL TRANSMISSION"
"DUMINGAG, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"DUPAX DEL NORTE, NUEVA VIZCAYA","FULL TRANSMISSION"
"DUPAX DEL SUR, NUEVA VIZCAYA","FULL TRANSMISSION"
"ECHAGUE, ISABELA","FULL TRANSMISSION"
"EL NIDO (BACUIT), PALAWAN","FULL TRANSMISSION"
"EL SALVADOR CITY, MISAMIS ORIENTAL","FULL TRANSMISSION"
"ENRILE, CAGAYAN","PARTIAL TRANSMISSION"
"ENRIQUE B. MAGALONA (SARAVIA), NEGROS OCCIDENTAL","FULL TRANSMISSION"
"ENRIQUE VILLANUEVA, SIQUIJOR","FULL TRANSMISSION"
"ERMITA, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"ESCALANTE CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"ESPERANZA, AGUSAN DEL SUR","FULL TRANSMISSION"
"ESPERANZA, MASBATE","FULL TRANSMISSION"
"ESPERANZA, SULTAN KUDARAT","FULL TRANSMISSION"
"ESTANCIA, ILOILO","FULL TRANSMISSION"
"FAMY, LAGUNA","FULL TRANSMISSION"
"FEDERAL REPUBLIC OF GERMANY, EUROPE","NO TRANSMISSION"
"FEDERAL REPUBLIC OF NIGERIA, MIDDLE EAST AND AFRICAS","NO TRANSMISSION"
"FERROL, ROMBLON","FULL TRANSMISSION"
"FLORA, APAYAO","FULL TRANSMISSION"
"FLORIDABLANCA, PAMPANGA","FULL TRANSMISSION"
"GABALDON (BITULOK AND SABANI), NUEVA ECIJA","FULL TRANSMISSION"
"GAINZA, CAMARINES SUR","FULL TRANSMISSION"
"GALIMUYOD, ILOCOS SUR","FULL TRANSMISSION"
"GAMAY, NORTHERN SAMAR","FULL TRANSMISSION"
"GAMU, ISABELA","FULL TRANSMISSION"
"GANASSI, LANAO DEL SUR","PARTIAL TRANSMISSION"
"GANDARA, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"GAPAN CITY, NUEVA ECIJA","FULL TRANSMISSION"
"GARCHITORENA, CAMARINES SUR","FULL TRANSMISSION"
"GARCIA HERNANDEZ, BOHOL","FULL TRANSMISSION"
"GASAN, MARINDUQUE","PARTIAL TRANSMISSION"
"GATTARAN, CAGAYAN","PARTIAL TRANSMISSION"
"GEN. MARIANO ALVAREZ, CAVITE","FULL TRANSMISSION"
"GEN. S. K. PENDATUN, MAGUINDANAO","FULL TRANSMISSION"
"GENERAL EMILIO AGUINALDO, CAVITE","FULL TRANSMISSION"
"GENERAL LUNA, QUEZON","FULL TRANSMISSION"
"GENERAL LUNA, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"GENERAL MACARTHUR, EASTERN SAMAR","FULL TRANSMISSION"
"GENERAL MAMERTO NATIVIDAD, NUEVA ECIJA","FULL TRANSMISSION"
"GENERAL NAKAR, QUEZON","FULL TRANSMISSION"
"GENERAL SANTOS CITY  (DADIANGAS), SOUTH COTABATO","FULL TRANSMISSION"
"GENERAL TINIO  (PAPAYA), NUEVA ECIJA","FULL TRANSMISSION"
"GENERAL TRIAS CITY, CAVITE","FULL TRANSMISSION"
"GERONA, TARLAC","FULL TRANSMISSION"
"GIGAQUIT, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"GIGMOTO, CATANDUANES","FULL TRANSMISSION"
"GINATILAN, CEBU","PARTIAL TRANSMISSION"
"GINGOOG CITY, MISAMIS ORIENTAL","FULL TRANSMISSION"
"GIPORLOS, EASTERN SAMAR","FULL TRANSMISSION"
"GITAGUM, MISAMIS ORIENTAL","FULL TRANSMISSION"
"GLAN, SARANGANI","FULL TRANSMISSION"
"GLORIA, ORIENTAL MINDORO","FULL TRANSMISSION"
"GOA, CAMARINES SUR","FULL TRANSMISSION"
"GODOD, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"GONZAGA, CAGAYAN","FULL TRANSMISSION"
"GOVERNOR GENEROSO, DAVAO ORIENTAL","PARTIAL TRANSMISSION"
"GREGORIO DEL PILAR (CONCEPCION), ILOCOS SUR","FULL TRANSMISSION"
"GUAGUA, PAMPANGA","FULL TRANSMISSION"
"GUBAT, SORSOGON","FULL TRANSMISSION"
"GUIGUINTO, BULACAN","FULL TRANSMISSION"
"GUIHULNGAN CITY, NEGROS ORIENTAL","FULL TRANSMISSION"
"GUIMBA, NUEVA ECIJA","PARTIAL TRANSMISSION"
"GUIMBAL, ILOILO","FULL TRANSMISSION"
"GUINAYANGAN, QUEZON","PARTIAL TRANSMISSION"
"GUINDULMAN, BOHOL","FULL TRANSMISSION"
"GUINDULUNGAN, MAGUINDANAO","PARTIAL TRANSMISSION"
"GUINOBATAN, ALBAY","FULL TRANSMISSION"
"GUINSILIBAN, CAMIGUIN","FULL TRANSMISSION"
"GUIPOS, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"GUIUAN, EASTERN SAMAR","FULL TRANSMISSION"
"GUMACA, QUEZON","FULL TRANSMISSION"
"GUTALAC, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"HADJI MOHAMMAD AJUL, BASILAN","FULL TRANSMISSION"
"HADJI MUHTAMAD, BASILAN","FULL TRANSMISSION"
"HADJI PANGLIMA TAHIL (MARUNGGAS), SULU","FULL TRANSMISSION"
"HAGONOY, BULACAN","FULL TRANSMISSION"
"HAGONOY, DAVAO DEL SUR","PARTIAL TRANSMISSION"
"HAMTIC, ANTIQUE","FULL TRANSMISSION"
"HASHEMITE KINGDOM OF JORDAN, MIDDLE EAST AND AFRICAS","NO TRANSMISSION"
"HERMOSA, BATAAN","FULL TRANSMISSION"
"HERNANI, EASTERN SAMAR","FULL TRANSMISSION"
"HILONGOS, LEYTE","FULL TRANSMISSION"
"HIMAMAYLAN CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"HINABANGAN, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"HINATUAN, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"HINDANG, LEYTE","FULL TRANSMISSION"
"HINGYON, IFUGAO","FULL TRANSMISSION"
"HINIGARAN, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"HINOBA-AN (ASIA), NEGROS OCCIDENTAL","FULL TRANSMISSION"
"HINUNANGAN, SOUTHERN LEYTE","PARTIAL TRANSMISSION"
"HINUNDAYAN, SOUTHERN LEYTE","FULL TRANSMISSION"
"HUNGDUAN, IFUGAO","FULL TRANSMISSION"
"IBA, ZAMBALES","FULL TRANSMISSION"
"IBAAN, BATANGAS","FULL TRANSMISSION"
"IBAJAY, AKLAN","FULL TRANSMISSION"
"IGBARAS, ILOILO","FULL TRANSMISSION"
"IGUIG, CAGAYAN","FULL TRANSMISSION"
"ILAGAN CITY, ISABELA","FULL TRANSMISSION"
"ILIGAN CITY, LANAO DEL NORTE","FULL TRANSMISSION"
"ILOG, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"ILOILO CITY, ILOILO","FULL TRANSMISSION"
"IMELDA, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"IMPASUG-ONG, BUKIDNON","FULL TRANSMISSION"
"IMUS CITY, CAVITE","FULL TRANSMISSION"
"INABANGA, BOHOL","PARTIAL TRANSMISSION"
"INDANAN, SULU","PARTIAL TRANSMISSION"
"INDANG, CAVITE","FULL TRANSMISSION"
"INDIA, ASIA","NO TRANSMISSION"
"INFANTA, PANGASINAN","FULL TRANSMISSION"
"INFANTA, QUEZON","FULL TRANSMISSION"
"INITAO, MISAMIS ORIENTAL","FULL TRANSMISSION"
"INOPACAN, LEYTE","FULL TRANSMISSION"
"INTRAMUROS, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"IPIL, ZAMBOANGA SIBUGAY","PARTIAL TRANSMISSION"
"IRAN (ISLAMIC REPUBLIC OF), MIDDLE EAST AND AFRICAS","NO TRANSMISSION"
"IRIGA CITY, CAMARINES SUR","FULL TRANSMISSION"
"IROSIN, SORSOGON","FULL TRANSMISSION"
"ISABEL, LEYTE","PARTIAL TRANSMISSION"
"ISABELA, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"ISABELA CITY, BASILAN","PARTIAL TRANSMISSION"
"ISLAND GARDEN CITY OF SAMAL, DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"ISRAEL, MIDDLE EAST AND AFRICAS","NO TRANSMISSION"
"ISULAN, SULTAN KUDARAT","PARTIAL TRANSMISSION"
"ITALY, EUROPE","FULL TRANSMISSION"
"ITBAYAT, BATANES","FULL TRANSMISSION"
"ITOGON, BENGUET","FULL TRANSMISSION"
"IVANA, BATANES","FULL TRANSMISSION"
"IVISAN, CAPIZ","FULL TRANSMISSION"
"JABONGA, AGUSAN DEL NORTE","PARTIAL TRANSMISSION"
"JAEN, NUEVA ECIJA","FULL TRANSMISSION"
"JAGNA, BOHOL","FULL TRANSMISSION"
"JALA-JALA, RIZAL","FULL TRANSMISSION"
"JAMINDAN, CAPIZ","FULL TRANSMISSION"
"JANIUAY, ILOILO","FULL TRANSMISSION"
"JAPAN, ASIA","PARTIAL TRANSMISSION"
"JARO, LEYTE","PARTIAL TRANSMISSION"
"JASAAN, MISAMIS ORIENTAL","FULL TRANSMISSION"
"JAVIER (BUGHO), LEYTE","FULL TRANSMISSION"
"JETAFE, BOHOL","FULL TRANSMISSION"
"JIABONG, SAMAR (WESTERN SAMAR)","PARTIAL TRANSMISSION"
"JIMALALUD, NEGROS ORIENTAL","PARTIAL TRANSMISSION"
"JIMENEZ, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"JIPAPAD, EASTERN SAMAR","FULL TRANSMISSION"
"JOLO, SULU","FULL TRANSMISSION"
"JOMALIG, QUEZON","FULL TRANSMISSION"
"JONES, ISABELA","FULL TRANSMISSION"
"JORDAN, GUIMARAS","FULL TRANSMISSION"
"JOSE ABAD SANTOS (TRINIDAD), DAVAO OCCIDENTAL","PARTIAL TRANSMISSION"
"JOSE DALMAN (PONOT), ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"JOSE PANGANIBAN, CAMARINES NORTE","FULL TRANSMISSION"
"JOSEFINA, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"JOVELLAR, ALBAY","FULL TRANSMISSION"
"JUBAN, SORSOGON","PARTIAL TRANSMISSION"
"JULITA, LEYTE","FULL TRANSMISSION"
"KABACAN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"KABANKALAN CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"KABASALAN, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"KABAYAN, BENGUET","FULL TRANSMISSION"
"KABUGAO, APAYAO","PARTIAL TRANSMISSION"
"KABUNTALAN (TUMBAO), MAGUINDANAO","PARTIAL TRANSMISSION"
"KADINGILAN, BUKIDNON","PARTIAL TRANSMISSION"
"KALAMANSIG, SULTAN KUDARAT","FULL TRANSMISSION"
"KALAWIT, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"KALAYAAN, LAGUNA","FULL TRANSMISSION"
"KALAYAAN, PALAWAN","FULL TRANSMISSION"
"KALIBO, AKLAN","FULL TRANSMISSION"
"KALILANGAN, BUKIDNON","FULL TRANSMISSION"
"KALINGALAN CALUANG, SULU","FULL TRANSMISSION"
"KANANGA, LEYTE","FULL TRANSMISSION"
"KAPAI, LANAO DEL SUR","PARTIAL TRANSMISSION"
"KAPALONG, DAVAO (DAVAO DEL NORTE)","PARTIAL TRANSMISSION"
"KAPANGAN, BENGUET","FULL TRANSMISSION"
"KAPATAGAN, LANAO DEL NORTE","FULL TRANSMISSION"
"KAPATAGAN, LANAO DEL SUR","FULL TRANSMISSION"
"KASIBU, NUEVA VIZCAYA","PARTIAL TRANSMISSION"
"KATIPUNAN, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"KAUSWAGAN, LANAO DEL NORTE","FULL TRANSMISSION"
"KAWAYAN, BILIRAN","FULL TRANSMISSION"
"KAWIT, CAVITE","FULL TRANSMISSION"
"KAYAPA, NUEVA VIZCAYA","PARTIAL TRANSMISSION"
"KIAMBA, SARANGANI","FULL TRANSMISSION"
"KIANGAN, IFUGAO","FULL TRANSMISSION"
"KIBAWE, BUKIDNON","FULL TRANSMISSION"
"KIBLAWAN, DAVAO DEL SUR","FULL TRANSMISSION"
"KIBUNGAN, BENGUET","FULL TRANSMISSION"
"KINGDOM OF BAHRAIN, MIDDLE EAST AND AFRICAS","FULL TRANSMISSION"
"KINGDOM OF CAMBODIA, ASIA","NO TRANSMISSION"
"KINGDOM OF SAUDI ARABIA, MIDDLE EAST AND AFRICAS","PARTIAL TRANSMISSION"
"KINGDOM OF THAILAND, ASIA","NO TRANSMISSION"
"KINGDOM OF THE NETHERLANDS, EUROPE","NO TRANSMISSION"
"KINOGUITAN, MISAMIS ORIENTAL","FULL TRANSMISSION"
"KITAOTAO, BUKIDNON","PARTIAL TRANSMISSION"
"KITCHARAO, AGUSAN DEL NORTE","PARTIAL TRANSMISSION"
"KOLAMBUGAN, LANAO DEL NORTE","PARTIAL TRANSMISSION"
"KORONADAL CITY, SOUTH COTABATO","PARTIAL TRANSMISSION"
"KUMALARANG, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"LA CARLOTA CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"LA CASTELLANA, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"LA LIBERTAD, NEGROS ORIENTAL","FULL TRANSMISSION"
"LA LIBERTAD, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"LA PAZ, ABRA","FULL TRANSMISSION"
"LA PAZ, AGUSAN DEL SUR","FULL TRANSMISSION"
"LA PAZ, LEYTE","FULL TRANSMISSION"
"LA PAZ, TARLAC","FULL TRANSMISSION"
"LA TRINIDAD, BENGUET","FULL TRANSMISSION"
"LAAK (SAN VICENTE), COMPOSTELA VALLEY","FULL TRANSMISSION"
"LABANGAN, ZAMBOANGA DEL SUR","PARTIAL TRANSMISSION"
"LABASON, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"LABO, CAMARINES NORTE","FULL TRANSMISSION"
"LABRADOR, PANGASINAN","FULL TRANSMISSION"
"LACUB, ABRA","FULL TRANSMISSION"
"LAGANGILANG, ABRA","FULL TRANSMISSION"
"LAGAWE, IFUGAO","FULL TRANSMISSION"
"LAGAYAN, ABRA","FULL TRANSMISSION"
"LAGONGLONG, MISAMIS ORIENTAL","FULL TRANSMISSION"
"LAGONOY, CAMARINES SUR","FULL TRANSMISSION"
"LAGUINDINGAN, MISAMIS ORIENTAL","FULL TRANSMISSION"
"LAKE SEBU, SOUTH COTABATO","FULL TRANSMISSION"
"LAKEWOOD, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"LAL-LO, CAGAYAN","FULL TRANSMISSION"
"LALA, LANAO DEL NORTE","FULL TRANSMISSION"
"LAMBAYONG (MARIANO MARCOS), SULTAN KUDARAT","PARTIAL TRANSMISSION"
"LAMBUNAO, ILOILO","FULL TRANSMISSION"
"LAMITAN CITY, BASILAN","FULL TRANSMISSION"
"LAMUT, IFUGAO","FULL TRANSMISSION"
"LANGIDEN, ABRA","FULL TRANSMISSION"
"LANGUYAN, TAWI-TAWI","PARTIAL TRANSMISSION"
"LANTAPAN, BUKIDNON","FULL TRANSMISSION"
"LANTAWAN, BASILAN","FULL TRANSMISSION"
"LANUZA, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"LAO PEOPLES DEMOCRATIC REPUBLIC, ASIA","NO TRANSMISSION"
"LAOAC, PANGASINAN","FULL TRANSMISSION"
"LAOAG CITY, ILOCOS NORTE","FULL TRANSMISSION"
"LAOANG, NORTHERN SAMAR","FULL TRANSMISSION"
"LAPINIG, NORTHERN SAMAR","FULL TRANSMISSION"
"LAPU-LAPU CITY (OPON), CEBU","FULL TRANSMISSION"
"LAPUYAN, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"LARENA, SIQUIJOR","FULL TRANSMISSION"
"LAS NAVAS, NORTHERN SAMAR","FULL TRANSMISSION"
"LAS NIEVES, AGUSAN DEL NORTE","FULL TRANSMISSION"
"LASAM, CAGAYAN","PARTIAL TRANSMISSION"
"LAUA-AN, ANTIQUE","FULL TRANSMISSION"
"LAUR, NUEVA ECIJA","FULL TRANSMISSION"
"LAUREL, BATANGAS","FULL TRANSMISSION"
"LAVEZARES, NORTHERN SAMAR","FULL TRANSMISSION"
"LAWAAN, EASTERN SAMAR","FULL TRANSMISSION"
"LAZI, SIQUIJOR","FULL TRANSMISSION"
"LEBAK, SULTAN KUDARAT","FULL TRANSMISSION"
"LEGANES, ILOILO","FULL TRANSMISSION"
"LEGAZPI CITY, ALBAY","PARTIAL TRANSMISSION"
"LEMERY, BATANGAS","FULL TRANSMISSION"
"LEMERY, ILOILO","FULL TRANSMISSION"
"LEON, ILOILO","FULL TRANSMISSION"
"LEYTE, LEYTE","FULL TRANSMISSION"
"LEZO, AKLAN","FULL TRANSMISSION"
"LIAN, BATANGAS","FULL TRANSMISSION"
"LIANGA, SURIGAO DEL SUR","FULL TRANSMISSION"
"LIBACAO, AKLAN","FULL TRANSMISSION"
"LIBAGON, SOUTHERN LEYTE","FULL TRANSMISSION"
"LIBERTAD, ANTIQUE","FULL TRANSMISSION"
"LIBERTAD, MISAMIS ORIENTAL","FULL TRANSMISSION"
"LIBJO (ALBOR), DINAGAT ISLANDS","PARTIAL TRANSMISSION"
"LIBMANAN, CAMARINES SUR","FULL TRANSMISSION"
"LIBON, ALBAY","FULL TRANSMISSION"
"LIBONA, BUKIDNON","FULL TRANSMISSION"
"LIBUNGAN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"LICAB, NUEVA ECIJA","FULL TRANSMISSION"
"LICUAN-BAAY (LICUAN), ABRA","FULL TRANSMISSION"
"LIDLIDDA, ILOCOS SUR","FULL TRANSMISSION"
"LILA, BOHOL","FULL TRANSMISSION"
"LILIW, LAGUNA","FULL TRANSMISSION"
"LILOAN, CEBU","FULL TRANSMISSION"
"LILOAN, SOUTHERN LEYTE","FULL TRANSMISSION"
"LILOY, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"LIMASAWA, SOUTHERN LEYTE","FULL TRANSMISSION"
"LIMAY, BATAAN","FULL TRANSMISSION"
"LINAMON, LANAO DEL NORTE","FULL TRANSMISSION"
"LINAPACAN, PALAWAN","FULL TRANSMISSION"
"LINGAYEN, PANGASINAN","FULL TRANSMISSION"
"LINGIG, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"LIPA CITY, BATANGAS","FULL TRANSMISSION"
"LLANERA, NUEVA ECIJA","FULL TRANSMISSION"
"LLORENTE, EASTERN SAMAR","FULL TRANSMISSION"
"LOAY, BOHOL","FULL TRANSMISSION"
"LOBO, BATANGAS","FULL TRANSMISSION"
"LOBOC, BOHOL","PARTIAL TRANSMISSION"
"LOOC, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"LOOC, ROMBLON","FULL TRANSMISSION"
"LOON, BOHOL","PARTIAL TRANSMISSION"
"LOPE DE VEGA, NORTHERN SAMAR","PARTIAL TRANSMISSION"
"LOPEZ, QUEZON","FULL TRANSMISSION"
"LOPEZ JAENA, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"LORETO, AGUSAN DEL SUR","FULL TRANSMISSION"
"LORETO, DINAGAT ISLANDS","FULL TRANSMISSION"
"LOS BAÑOS, LAGUNA","FULL TRANSMISSION"
"LUBA, ABRA","PARTIAL TRANSMISSION"
"LUBANG, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"LUBAO, PAMPANGA","FULL TRANSMISSION"
"LUBUAGAN, KALINGA","FULL TRANSMISSION"
"LUCBAN, QUEZON","FULL TRANSMISSION"
"LUCENA CITY, QUEZON","FULL TRANSMISSION"
"LUGAIT, MISAMIS ORIENTAL","FULL TRANSMISSION"
"LUGUS, SULU","PARTIAL TRANSMISSION"
"LUISIANA, LAGUNA","FULL TRANSMISSION"
"LUMBA-BAYABAO (MAGUING), LANAO DEL SUR","PARTIAL TRANSMISSION"
"LUMBACA-UNAYAN, LANAO DEL SUR","FULL TRANSMISSION"
"LUMBAN, LAGUNA","FULL TRANSMISSION"
"LUMBATAN, LANAO DEL SUR","PARTIAL TRANSMISSION"
"LUMBAYANAGUE, LANAO DEL SUR","PARTIAL TRANSMISSION"
"LUNA, APAYAO","FULL TRANSMISSION"
"LUNA, ISABELA","FULL TRANSMISSION"
"LUNA, LA UNION","FULL TRANSMISSION"
"LUPAO, NUEVA ECIJA","FULL TRANSMISSION"
"LUPI, CAMARINES SUR","FULL TRANSMISSION"
"LUPON, DAVAO ORIENTAL","PARTIAL TRANSMISSION"
"LUTAYAN, SULTAN KUDARAT","FULL TRANSMISSION"
"LUUK, SULU","PARTIAL TRANSMISSION"
"M'LANG, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"MA-AYON, CAPIZ","PARTIAL TRANSMISSION"
"MAASIM, SARANGANI","FULL TRANSMISSION"
"MAASIN, ILOILO","FULL TRANSMISSION"
"MAASIN CITY, SOUTHERN LEYTE","FULL TRANSMISSION"
"MABALACAT, PAMPANGA","FULL TRANSMISSION"
"MABINAY, NEGROS ORIENTAL","FULL TRANSMISSION"
"MABINI, BATANGAS","FULL TRANSMISSION"
"MABINI, BOHOL","FULL TRANSMISSION"
"MABINI, PANGASINAN","FULL TRANSMISSION"
"MABINI (DOÑA ALICIA), COMPOSTELA VALLEY","FULL TRANSMISSION"
"MABITAC, LAGUNA","FULL TRANSMISSION"
"MABUHAY, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"MACABEBE, PAMPANGA","FULL TRANSMISSION"
"MACALELON, QUEZON","FULL TRANSMISSION"
"MACARTHUR, LEYTE","FULL TRANSMISSION"
"MACO, COMPOSTELA VALLEY","FULL TRANSMISSION"
"MACONACON, ISABELA","NO TRANSMISSION"
"MACROHON, SOUTHERN LEYTE","FULL TRANSMISSION"
"MADALAG, AKLAN","FULL TRANSMISSION"
"MADALUM, LANAO DEL SUR","PARTIAL TRANSMISSION"
"MADAMBA, LANAO DEL SUR","PARTIAL TRANSMISSION"
"MADDELA, QUIRINO","FULL TRANSMISSION"
"MADRID, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"MADRIDEJOS, CEBU","PARTIAL TRANSMISSION"
"MAGALANG, PAMPANGA","FULL TRANSMISSION"
"MAGALLANES, AGUSAN DEL NORTE","FULL TRANSMISSION"
"MAGALLANES, CAVITE","FULL TRANSMISSION"
"MAGALLANES, SORSOGON","PARTIAL TRANSMISSION"
"MAGARAO, CAMARINES SUR","FULL TRANSMISSION"
"MAGDALENA, LAGUNA","FULL TRANSMISSION"
"MAGDIWANG, ROMBLON","FULL TRANSMISSION"
"MAGPET, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"MAGSAYSAY, DAVAO DEL SUR","FULL TRANSMISSION"
"MAGSAYSAY, LANAO DEL NORTE","FULL TRANSMISSION"
